AK	27	29	16	17	41	20	23	31	32	24
AL	153	191	147	135	155	166	157	149	170	126
AR	68	98	94	71	78	102	69	93	95	83
AZ	620	633	655	605	543	606	623	591	652	532
CA	7020	8530	7411	7120	6824	8100	7849	7799	9185	9073
CO	723	799	688	612	583	669	648	670	867	737
CT	515	570	479	444	460	553	510	472	581	586
DC	25	30	31	21	15	23	30	37	49	65
DE	127	121	89	98	97	78	111	85	109	246
FL	1303	1512	1414	1372	1302	1549	1601	1713	1865	1488
GA	545	635	555	554	582	688	639	685	901	968
HI	41	58	43	54	51	76	60	48	51	52
IA	250	278	259	242	248	294	324	334	372	270
ID	568	599	471	415	335	399	389	316	344	354
IL	1067	1349	1247	1171	1086	1156	1238	1191	1376	1452
IN	457	568	473	436	424	504	454	554	607	510
KS	199	265	210	187	165	229	237	212	260	211
KY	117	159	179	161	144	168	127	138	188	178
LA	166	192	140	167	159	166	184	188	186	163
MA	881	1094	1032	924	952	1086	1128	1117	1307	1222
MD	398	481	432	404	421	446	400	411	487	407
ME	85	74	63	52	54	68	62	75	65	43
MI	1204	1389	1132	1095	1070	1154	1210	1117	1399	1321
MN	755	828	739	667	650	820	793	720	895	861
MO	353	361	344	313	295	375	284	328	341	351
MS	63	55	98	73	60	67	56	66	67	39
MT	47	57	56	39	54	39	39	51	42	32
NC	659	714	643	604	623	729	707	705	747	720
ND	42	34	47	32	28	36	27	25	30	27
NE	97	108	132	87	88	93	86	98	110	113
NH	176	240	214	172	200	219	215	188	228	185
NJ	931	1116	952	902	833	1078	1046	1024	1141	1101
NM	93	128	131	105	99	143	136	108	134	114
NV	200	222	191	194	149	212	212	269	311	319
NY	1806	1924	1982	1850	1737	2119	1968	1959	2291	2544
OH	942	1032	1005	978	873	1061	1025	979	1157	1028
OK	163	202	168	151	141	189	155	163	166	143
OR	677	922	754	736	593	674	694	588	724	704
PA	831	1001	925	859	841	1014	904	887	1064	915
PR	22	14	21	11	9	11	13	22	11	17
RI	145	142	139	122	105	94	102	121	115	107
SC	225	287	219	216	201	201	252	264	251	208
SD	43	42	35	30	29	40	43	50	59	37
TN	312	317	282	285	245	312	316	332	338	299
TX	1855	2167	1961	1806	1735	2140	2050	2121	2500	2424
UT	219	215	191	232	194	266	301	286	318	313
VA	413	433	414	441	396	564	468	457	576	513
VI	2	1	2	1	2	1	2	1	NULL	3
VT	105	90	119	122	102	117	83	71	82	57
WA	848	997	1023	1057	1039	1137	1066	1090	1260	1139
WI	562	699	598	550	517	610	532	573	628	583
WV	35	40	39	34	39	51	32	30	48	30
WY	19	27	30	18	30	39	23	31	46	30
