AK	4833	1	3	1	1	2	2	1	1	4	2
AL	735	9	13	12	7	9	13	7	11	13	10
AR	2959	2	3	1	4	2	7	4	9	2	9
AZ	6626	74	71	72	98	65	88	82	95	99	86
CA	38332	1123	1427	1109	1149	1251	1682	1628	1718	2120	2232
CO	5268	155	167	129	114	100	128	134	135	191	135
CT	3596	52	61	58	42	45	63	74	49	96	72
DC	646	6	10	6	7	4	7	12	7	13	12
DE	925	1	3	4	3	3	6	5	9	12	21
FL	19552	80	82	75	61	72	116	109	148	174	165
GA	9992	51	74	56	69	85	120	111	119	186	209
HI	1404	4	4	1	2	8	3	4	5	3	6
IA	3090	19	10	11	15	9	19	19	31	23	24
ID	1612	65	74	46	37	35	32	52	38	42	57
IL	12882	75	99	79	83	98	128	133	119	160	206
IN	6570	19	36	36	25	29	33	22	31	51	37
KS	2893	24	43	32	23	26	35	31	45	37	35
KY	4395	3	4	11	5	5	1	7	8	9	20
LA	4625	7	10	10	6	9	10	9	5	11	5
MA	6692	145	196	160	186	203	261	245	259	303	290
MD	5928	34	50	39	41	62	63	50	67	77	62
ME	1328	2	4	4	2	2	5	2	9	4	5
MI	9895	98	119	95	87	110	116	120	159	157	171
MN	5420	92	110	100	93	97	109	113	113	117	88
MO	6044	15	20	16	22	21	33	32	43	31	39
MT	1015	1	1	3	2	3	4	2	5	1	1
NC	9848	65	108	73	96	98	149	129	155	177	129
ND	723	2	4	5	4	4	4	3	1	6	6
NE	1868	2	6	4	7	7	7	9	11	18	16
NH	1323	23	29	33	20	33	38	32	37	38	22
NJ	8899	75	118	87	97	101	146	162	158	188	177
NM	2085	13	17	12	7	12	19	18	11	15	13
NV	2790	11	15	14	15	15	18	27	18	30	83
NY	19651	179	169	167	197	178	235	283	266	347	622
OH	11570	66	63	50	45	46	66	64	72	91	69
OK	3850	10	11	9	12	5	10	10	8	8	9
OR	3930	129	148	97	112	95	102	116	88	95	83
PA	12773	63	77	60	72	68	68	71	89	137	96
RI	1051	7	6	5	4	6	5	8	11	5	7
SC	4774	10	13	8	7	11	7	15	13	14	17
SD	844	6	4	8	4	7	7	9	3	5	1
TN	6495	14	13	13	16	14	27	28	23	29	25
TX	26448	333	427	349	345	366	463	484	489	534	486
UT	2900	17	21	22	34	28	50	44	57	56	50
VA	8260	50	54	59	63	59	89	89	87	113	113
VT	626	11	15	14	15	12	15	11	8	17	12
WA	6971	178	256	235	301	311	344	298	336	389	361
WI	5742	18	37	27	18	26	34	27	29	34	33
WV	1854	1	1	2	1	1	1	2	6	7	2
